Items Report
"Nov 1, 2025 12:00 AM - Nov 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$38,853.26"
Net Sales,"$38,726.24"
COGS,"$11,183.67"
Gross Profit,"$26,946.45"
Gross Profit Margin,69.58%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Custom Item,$2.00,$2.00,2,0," "," ",-,$0.00,$0.00,0.01%,$1.00,-,-
,Custom Item,$1.50,$1.50,1,0," "," ",-,$0.00,$0.00,0.00%,$1.50,-,-
Total (Uncategorized),,"$1,227.23","$1,227.23",227,0,-," ",$0.00,$0.00,$0.00,3.17%,$5.41,$383.07,$557.85

Breads
,Vada Dabeli Pav,$559.00,$559.00,172,0," "," ",-,$0.00,$0.00,1.44%,$3.25,$0.00,$559.00
,Maska Bun,$328.50,$328.50,146,0," "," ",-,$0.00,$0.00,0.85%,$2.25,$0.00,$328.50
,"Soft White Pizza Bread 7""",$145.75,$145.75,53,0," "," ",-,$0.00,$0.00,0.38%,$2.75,$72.61,$73.14
,Sandwich Bread 400g,$93.50,$93.50,34,0," "," ",-,$0.00,$0.00,0.24%,$2.75,$0.00,$93.50
,Milk & Fruit Bread,$30.25,$30.25,11,0," "," ",-,$0.00,$0.00,0.08%,$2.75,$15.07,$15.18
,Kulcha Bread,$29.25,$29.25,13,0," "," ",-,$0.00,$0.00,0.08%,$2.25,$6.50,$22.75
,Jumbo Sandwich Bread,$21.25,$21.25,5,0," "," ",-,$0.00,$0.00,0.05%,$4.25,$0.00,$21.25
,Garlic Loaf,$8.50,$8.50,2,0," "," ",-,$0.00,$0.00,0.02%,$4.25,$4.38,$4.12
,Sandwich Bread 800gm,$4.25,$4.25,1,0," "," ",-,$0.00,$0.00,0.01%,$4.25,$0.00,$4.25
,Jumbo Pav,$3.25,$3.25,1,0," "," ",-,$0.00,$0.00,0.01%,$3.25,$0.00,$3.25
