Items Report
"Sep 1, 2025 12:00 AM - Sep 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$45,893.62"
Net Sales,"$45,803.30"
COGS,"$12,186.33"
Gross Profit,"$32,870.59"
Gross Profit Margin,71.76%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Rasmalai 2Lb,$708.37,$708.37,13,0," "," ",-,$0.00,$0.00,1.55%,$54.49,$371.67,$336.70
,Ferrero Rocher 2 Lb,$626.89,$626.89,11,0," "," ",-,$0.00,$0.00,1.37%,$56.99,$326.59,$300.30
,Pine Butterscotch 2LB,$524.90,$524.90,10,0," "," ",-,$0.00,$0.00,1.15%,$52.49,$274.90,$250.00
,Black Forest Cake 2LB,$505.89,$505.89,11,0," "," ",-,$0.00,$0.00,1.10%,$45.99,$266.09,$239.80
,Alphonso 2LB,$367.92,$367.92,8,0," "," ",-,$0.00,$0.00,0.80%,$45.99,$193.52,$174.40
,Red Velvet 2LB,$329.94,$329.94,6,0," "," ",-,$0.00,$0.00,0.72%,$54.99,$171.54,$158.40
,Dark Forest 2LB,$288.71,$288.71,5,0," "," ",-,$0.00,$0.00,0.63%,$57.74,$148.45,$140.26
,Choco delight 2 lb,$275.94,$275.94,6,0," "," ",-,$0.00,$0.00,0.60%,$45.99,$145.14,$130.80
,Juicy Pineapple 2LB,$275.94,$275.94,6,0," "," ",-,$0.00,$0.00,0.60%,$45.99,$145.14,$130.80
,Oreo Crunch 2 Lb,$219.96,$219.96,4,0," "," ",-,$0.00,$0.00,0.48%,$54.99,$114.36,$105.60
,Choco Chip Forest Cake 2LB,$209.96,$209.96,4,0," "," ",-,$0.00,$0.00,0.46%,$52.49,$109.96,$100.00
,Choco Pie 2LB,$104.98,$104.98,2,0," "," ",-,$0.00,$0.00,0.23%,$52.49,$54.98,$50.00
,Mango Cheese Cake 2lb,$54.99,$54.99,1,0," "," ",-,$0.00,$0.00,0.12%,$54.99,$0.00,$54.99
Total (Cake 2LB),,"$5,325.40","$5,325.40",102,0,-," ",$0.00,$0.00,$0.00,11.63%,$52.21,"$2,767.69","$2,557.71"

Uncategorized
,Buns Pav,$536.25,$536.25,143,0," "," ",-,$0.00,$0.00,1.17%,$3.75,$536.25,$0.00
,Surti Khari,$354.29,$354.29,71,0," "," ",-,$0.00,$0.00,0.77%,$4.99,$213.00,$141.29
,Mango Tres Leches,$247.69,$247.69,31,0," "," ",-,$0.00,$0.00,0.54%,$7.99,$185.69,$62.00
,Jeera Khari,$234.53,$234.53,47,0," "," ",-,$0.00,$0.00,0.51%,$4.99,$234.53,$0.00
,Methi Khari,$129.74,$129.74,26,0," "," ",-,$0.00,$0.00,0.28%,$4.99,$78.00,$51.74
,Schezwan Paneer Roll,$80.91,$80.91,9,0," "," ",-,$0.00,$0.00,0.18%,$8.99,-,-
,Pistachio Nuts Cookies 150gm,$71.50,$71.50,26,0," "," ",-,$0.00,$0.00,0.16%,$2.75,$43.16,$28.34
,Rasmalai 2LB,$51.99,$51.99,1,0," "," ",-,$0.00,$0.00,0.11%,$51.99,$0.00,$51.99
,Paneer Tikka Pizza,$41.25,$41.25,3,0," "," ",-,$0.00,$0.00,0.09%,$13.75,-,-
