Items Report
"Feb 1, 2026 12:00 AM - Feb 28, 2026 11:59 PM"
"Requested on: Apr 2, 2026 4:58 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$31,012.38"
Net Sales,"$30,641.50"
COGS,"$8,921.62"
Gross Profit,"$20,193.28"
Gross Profit Margin,65.90%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Rasmalai 2Lb,"$1,091.79","$1,086.59",21,0," "," ",-,-$5.20,$0.00,3.55%,$51.74,$600.39,$486.20
,Black Forest Cake 2LB,$703.84,$703.84,16,0," "," ",-,$0.00,$0.00,2.30%,$43.99,$387.04,$316.80
,Ferrero Rocher 2 Lb,$701.87,$701.87,13,0," "," ",-,$0.00,$0.00,2.29%,$53.99,$385.97,$315.90
,Pine Butterscotch 2LB,$649.87,$649.87,13,0," "," ",-,$0.00,$0.00,2.12%,$49.99,$357.37,$292.50
,Red Velvet 2LB,$484.67,$446.77,9,0," "," ",-,-$37.90,$0.00,1.46%,$49.64,$257.31,$189.46
,Royal Cassatta 2LB,$415.92,$405.52,8,0," "," ",-,-$10.40,$0.00,1.32%,$50.69,$237.52,$168.00
,White Forest 2LB,$399.92,$399.92,8,0," "," ",-,$0.00,$0.00,1.31%,$49.99,$219.92,$180.00
,Choco delight 2 lb,$395.91,$395.91,9,0," "," ",-,$0.00,$0.00,1.29%,$43.99,$217.71,$178.20
,Alphonso 2LB,$351.92,$347.52,8,0," "," ",-,-$4.40,$0.00,1.13%,$43.44,$193.52,$154.00
,Juicy Pineapple 2LB,$219.95,$219.95,5,0," "," ",-,$0.00,$0.00,0.72%,$43.99,$120.95,$99.00
,Dark Forest 2LB,$155.97,$155.97,3,0," "," ",-,$0.00,$0.00,0.51%,$51.99,$89.07,$66.90
,Choco Pie 2LB,$165.63,$152.50,3,0," "," ",-,-$13.13,$0.00,0.50%,$50.83,$82.47,$70.03
,Choco Chip Forest Cake 2LB,$149.97,$139.97,3,0," "," ",-,-$10.00,$0.00,0.46%,$46.66,$82.47,$57.50
,Oreo Crunch 2 Lb,$51.99,$51.99,1,0," "," ",-,$0.00,$0.00,0.17%,$51.99,$28.59,$23.40
Total (Cake 2LB),,"$5,939.22","$5,858.19",120,0,-," ",$0.00,-$81.03,$0.00,19.12%,$48.82,"$3,260.30","$2,597.89"

Snacks
,Vada Pav,$821.00,$818.00,100,0," "," ",-,-$3.00,$0.00,2.67%,$8.18,$0.00,$818.00
,," "," "," "," ",Mild,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,13,$0.00," "," "," "," "," "," "
,Kutchi Dabeli,$672.14,$668.59,72,0," "," ",-,-$3.55,$0.00,2.18%,$9.29,$0.00,$668.59
,," "," "," "," ",Mild,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Chutney,1,$0.00," "," "," "," "," "," "
,Veggie Burger,$591.38,$583.43,60,0," "," ",-,-$7.95,$0.00,1.90%,$9.72,$0.00,$583.43
,," "," "," "," ",No Cheese,2,$0.00," "," "," "," "," "," "
,"Paneer Tikka Burger ",$413.54,$412.73,46,0," "," ",-,-$0.81,$0.00,1.35%,$8.97,-,-
,Paneer Tikka Sandwich,$375.24,$328.24,36,0," "," ",-,-$47.00,$0.00,1.07%,$9.12,$0.00,$328.24
,," "," "," "," ",Spicy,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onion,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Garlic Chutney,2,$0.00," "," "," "," "," "," "
,Pav Bhaji,$309.69,$309.69,31,0," "," ",-,$0.00,$0.00,1.01%,$9.99,-,-
,Veggie Pizza,$321.88,$307.26,24,0," "," ",-,-$14.62,$0.00,1.00%,$12.80,$0.00,$307.26
,," "," "," "," ",No Mushroom,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Zuccini,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Swaminarayan,1,$0.00," "," "," "," "," "," "
,Paneer Tikka Pizza,$388.48,$282.97,24,2," "," ",-,-$78.01,-$27.50,0.92%,$12.86,-,-
,Cheese Vada Pav,$287.73,$272.62,31,0," "," ",-,-$15.11,$0.00,0.89%,$8.79,$0.00,$272.62
,," "," "," "," ",Mild,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,3,$0.00," "," "," "," "," "," "
,Veg.grill sandwich,$227.87,$222.15,23,0," "," ",-,-$5.72,$0.00,0.72%,$9.66,$0.00,$222.15
,Bombay Sandwich,$125.82,$125.82,18,0," "," ",-,$0.00,$0.00,0.41%,$6.99,-,-
