Items Report
"Aug 1, 2025 12:00 AM - Aug 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:01 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$27,295.25"
Net Sales,"$27,215.86"
COGS,"$6,810.74"
Gross Profit,"$20,067.62"
Gross Profit Margin,73.74%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Choco Bite Pound Cake,$3.49,$3.49,1,0," "," ",-,$0.00,$0.00,0.01%,$3.49,$2.50,$0.99
,Custom Item,$3.00,$3.00,3,0," "," ",-,$0.00,$0.00,0.01%,$1.00,-,-
,Peri Peri Mini Chakri 120gm,$2.49,$2.49,1,0," "," ",-,$0.00,$0.00,0.01%,$2.49,$0.00,$2.49
,Frosting Cream Roll,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$1.99
,Rajgira Chikki,$1.99,$1.59,1,0," "," ",-,-$0.40,$0.00,0.01%,$1.59,$0.00,$1.59
,Sparkling Water Canada Dry,$0.99,$0.99,1,0," "," ",-,$0.00,$0.00,0.00%,$0.99,$0.00,$0.99
,Custom Item,$0.03,$0.03,3,0," "," ",-,$0.00,$0.00,0.00%,$0.01,-,-
,Custom Item,$0.02,$0.02,1,0," "," ",-,$0.00,$0.00,0.00%,$0.02,-,-
,test,$0.01,$0.01,1,0," "," ",-,$0.00,$0.00,0.00%,$0.01,-,-
Total (Uncategorized),,"$1,265.39","$1,258.25",333,1,-," ",$0.00,-$2.15,-$4.99,4.62%,$3.79,$635.04,$620.15

Breads
,Vada Dabeli Pav,$201.50,$201.50,62,0," "," ",-,$0.00,$0.00,0.74%,$3.25,$0.00,$201.50
,Maska Bun,$144.00,$144.00,64,0," "," ",-,$0.00,$0.00,0.53%,$2.25,$0.00,$144.00
,Sandwich Bread 400g,$134.49,$134.49,49,0," "," ",-,$0.00,$0.00,0.49%,$2.74,$0.00,$134.49
,"Mini Pizza Bread 4""",$55.00,$55.00,20,0," "," ",-,$0.00,$0.00,0.20%,$2.75,$27.40,$27.60
,Milk & Fruit Bread,$41.25,$41.25,15,0," "," ",-,$0.00,$0.00,0.15%,$2.75,$20.55,$20.70
,"Soft White Pizza Bread 7""",$41.25,$41.25,15,0," "," ",-,$0.00,$0.00,0.15%,$2.75,$20.55,$20.70
,Bhaji Pav,$33.75,$33.75,9,0," "," ",-,$0.00,$0.00,0.12%,$3.75,$0.00,$33.75
,Kulcha Bread,$33.75,$33.75,15,0," "," ",-,$0.00,$0.00,0.12%,$2.25,$7.50,$26.25
,Burger Bun,$11.25,$11.25,5,0," "," ",-,$0.00,$0.00,0.04%,$2.25,$0.00,$11.25
,Jumbo Sandwich Bread,$4.25,$4.25,1,0," "," ",-,$0.00,$0.00,0.02%,$4.25,$0.00,$4.25
,Sandwich Bread 800gm,$4.25,$4.25,1,0," "," ",-,$0.00,$0.00,0.02%,$4.25,$0.00,$4.25
,Cream Roll Frosting,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$1.99
,Garlic Loaf,$4.25,$0.00,1,1," "," ",-,$0.00,-$4.25,0%,-,$0.00,$0.00
Total (Breads),,$710.98,$706.73,258,1,-," ",$0.00,$0.00,-$4.25,2.60%,$2.75,$76.00,$630.73

Cookies
,Besan Pista Nankhatai,$239.60,$233.60,40,0," "," ",-,-$6.00,$0.00,0.86%,$5.84,$146.00,$87.60
,Surti Nankhatai,$68.74,$68.74,12,0," "," ",-,$0.00,$0.00,0.25%,$5.73,$24.60,$44.14
,Surti Sada 400gm,$57.49,$54.86,11,0," "," ",-,-$2.63,$0.00,0.20%,$4.99,$33.00,$21.86
,Cashew Crunch Cookie 200gm,$44.90,$44.90,10,0," "," ",-,$0.00,$0.00,0.16%,$4.49,$0.00,$44.90
,Multigrain Cookies 200gm,$45.00,$44.25,12,0," "," ",-,-$0.75,$0.00,0.16%,$3.69,$21.00,$23.25
,Surti Nankhatai 200gm,$17.96,$17.96,4,0," "," ",-,$0.00,$0.00,0.07%,$4.49,-,-
,Pistachio Cranberry Shortbread Cookies,$8.50,$8.50,2,0," "," ",-,$0.00,$0.00,0.03%,$4.25,$3.32,$5.18
,GJ Punjabi 300gm,$8.24,$8.24,2,0," "," ",-,$0.00,$0.00,0.03%,$4.12,$2.10,$6.14
,Cashew Bite 200gm,$7.50,$7.50,2,0," "," ",-,$0.00,$0.00,0.03%,$3.75,$0.00,$7.50
,Cashew Nut 200gm,$7.50,$7.50,2,0," "," ",-,$0.00,$0.00,0.03%,$3.75,$0.00,$7.50
,Fruit & Nut Cookies 200gm,$7.50,$7.50,2,0," "," ",-,$0.00,$0.00,0.03%,$3.75,$0.00,$7.50
,Surti Farmas 400g,$5.25,$5.25,1,0," "," ",-,$0.00,$0.00,0.02%,$5.25,$3.00,$2.25
Total (Cookies),,$518.18,$508.80,100,0,-," ",$0.00,-$9.38,$0.00,1.87%,$5.09,$233.02,$257.82

Mousse
,Choco Taco,$89.85,$89.25,15,0," "," ",-,-$0.60,$0.00,0.33%,$5.95,$59.85,$29.40
,Cassata Mouse,$87.50,$87.50,14,0," "," ",-,$0.00,$0.00,0.32%,$6.25,$0.00,$87.50
,Chocolate Mousse,$75.00,$75.00,12,0," "," ",-,$0.00,$0.00,0.28%,$6.25,$39.48,$35.52
,Rasmalai Mousse,$68.75,$68.75,11,0," "," ",-,$0.00,$0.00,0.25%,$6.25,$0.00,$68.75
,Oreo Dessert Cup,$62.50,$62.50,10,0," "," ",-,$0.00,$0.00,0.23%,$6.25,$0.00,$62.50
,Ferrero Dessert Cup,$43.75,$43.75,7,0," "," ",-,$0.00,$0.00,0.16%,$6.25,$0.00,$43.75
,Pineapple Mousse,$18.75,$18.75,3,0," "," ",-,$0.00,$0.00,0.07%,$6.25,$0.00,$18.75
Total (Mousse),,$446.10,$445.50,72,0,-," ",$0.00,-$0.60,$0.00,1.64%,$6.19,$99.33,$346.17

Namkeens
,Banana Mari Wafer 200g,$33.00,$33.00,12,0," "," ",-,$0.00,$0.00,0.12%,$2.75,$0.00,$33.00
,Kenyan Chevdo 200gm,$33.00,$33.00,12,0," "," ",-,$0.00,$0.00,0.12%,$2.75,$0.00,$33.00
,Rajigira Mini Jar Chakri,$29.90,$29.90,10,0," "," ",-,$0.00,$0.00,0.11%,$2.99,$0.00,$29.90
,Sing Bhujia 200g,$23.88,$23.88,12,0," "," ",-,$0.00,$0.00,0.09%,$1.99,$13.56,$10.32
,Soya Stick 200gm,$23.88,$23.88,12,0," "," ",-,$0.00,$0.00,0.09%,$1.99,$12.00,$11.88
,Ratlami Sev,$19.50,$19.50,6,0," "," ",-,$0.00,$0.00,0.07%,$3.25,$10.68,$8.82
,Sweet Farali Chevdo 200gm,$16.04,$16.04,6,0," "," ",-,$0.00,$0.00,0.06%,$2.67,$0.00,$16.04
,Chana Dal,$15.92,$15.92,8,0," "," ",-,$0.00,$0.00,0.06%,$1.99,$0.00,$15.92
,Moong Dal 200g,$13.93,$13.93,7,0," "," ",-,$0.00,$0.00,0.05%,$1.99,$7.98,$5.95
,Nadiyadi Mix 200gm,$13.93,$13.93,7,0," "," ",-,$0.00,$0.00,0.05%,$1.99,$0.00,$13.93
,Raji Mini Jar Chakri,$13.00,$13.00,4,0," "," ",-,$0.00,$0.00,0.05%,$3.25,$0.00,$13.00
,Jeera Mini Jar Chakri,$11.96,$11.96,4,0," "," ",-,$0.00,$0.00,0.04%,$2.99,$0.00,$11.96
