Items Report
"Dec 1, 2025 12:00 AM - Dec 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$41,041.45"
Net Sales,"$40,148.22"
COGS,"$11,171.97"
Gross Profit,"$27,851.42"
Gross Profit Margin,69.37%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Juicy Pineapple,$198.23,$198.23,49,0," "," ",-,$0.00,$0.00,0.49%,$4.05,$0.00,$198.23
,Red Velvet,$190.08,$190.08,42,0," "," ",-,$0.00,$0.00,0.47%,$4.53,$103.74,$86.34
,Alphonso,$188.98,$188.98,46,0," "," ",-,$0.00,$0.00,0.47%,$4.11,$0.00,$188.98
,Strawberry Delight,$171.75,$171.75,41,0," "," ",-,$0.00,$0.00,0.43%,$4.19,$89.79,$81.96
,White Forest,$163.59,$163.59,41,0," "," ",-,$0.00,$0.00,0.41%,$3.99,$89.79,$73.80
,"Creamy Vanilla ",$155.70,$155.70,38,0," "," ",-,$0.00,$0.00,0.39%,$4.10,$0.00,$155.70
,Choco Pie,$145.62,$145.62,24,0," "," ",-,$0.00,$0.00,0.36%,$6.07,$0.00,$145.62
,Bourbon Chocolate,$89.82,$89.82,18,0," "," ",-,$0.00,$0.00,0.22%,$4.99,$40.50,$49.32
,Roasted Almond,$65.89,$65.89,11,0," "," ",-,$0.00,$0.00,0.16%,$5.99,$0.00,$65.89
,Blueberry Delight,$10.70,$10.70,2,0," "," ",-,$0.00,$0.00,0.03%,$5.35,$4.38,$6.32
,Nutty Rose,$5.99,$3.69,1,0," "," ",-,-$2.30,$0.00,0.01%,$3.69,$0.00,$3.69
Total (Pastries ),,"$4,919.25","$4,906.36",1039,0,-," ",$0.00,-$12.89,$0.00,12.22%,$4.72,"$1,653.89","$3,252.48"

Tea & Soda
,Coffee,$391.59,$391.59,171,0," "," ",-,$0.00,$0.00,0.98%,$2.29,$0.00,$391.59
,Limca Can,$191.36,$191.36,64,0," "," ",-,$0.00,$0.00,0.48%,$2.99,$0.00,$191.36
,Kashmira Masala Jeera Can,$179.40,$179.40,60,0," "," ",-,$0.00,$0.00,0.45%,$2.99,$34.80,$144.60
,Coke Can,$163.18,$163.18,82,0," "," ",-,$0.00,$0.00,0.41%,$1.99,$0.00,$163.18
,Frooti,$105.41,$105.41,35,0," "," ",-,$0.00,$0.00,0.26%,$3.01,$0.00,$105.41
,Thums Up Can,$101.66,$101.66,34,0," "," ",-,$0.00,$0.00,0.25%,$2.99,$0.00,$101.66
,Sprite Can,$23.88,$23.88,12,0," "," ",-,$0.00,$0.00,0.06%,$1.99,$0.00,$23.88
,Coke Zero,$15.92,$15.92,8,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$0.00,$15.92
,Diet Coke Can,$15.92,$15.92,8,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$0.00,$15.92
,Fanta Can,$3.18,$3.18,2,0," "," ",-,$0.00,$0.00,0.01%,$1.59,$0.00,$3.18
,Pepsi,$3.78,$2.19,2,0," "," ",-,-$1.59,$0.00,0.01%,$1.10,$0.00,$2.19
Total (Tea & Soda),,"$1,195.28","$1,193.69",478,0,-," ",$0.00,-$1.59,$0.00,2.97%,$2.50,$34.80,"$1,158.89"

Uncategorized
,Paneer Tikka Pizza,$288.75,$288.75,21,0," "," ",-,$0.00,$0.00,0.72%,$13.75,-,-
,Mango Tres Leches,$279.65,$279.65,35,0," "," ",-,$0.00,$0.00,0.70%,$7.99,$209.65,$70.00
