Items Report
"Jan 1, 2026 12:00 AM - Jan 31, 2026 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$35,381.57"
Net Sales,"$35,357.20"
COGS,"$9,547.67"
Gross Profit,"$24,503.86"
Gross Profit Margin,69.30%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Kutchi Dabeli,$885.64,$885.64,96,0," "," ",-,$0.00,$0.00,2.50%,$9.23,$0.00,$885.64
,," "," "," "," ",Mild,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Sweet Chutney,1,$0.00," "," "," "," "," "," "
,Paneer Tikka Sandwich,$595.80,$595.80,60,0," "," ",-,$0.00,$0.00,1.69%,$9.93,$0.00,$595.80
,," "," "," "," ",Mild,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Sweet Chutney,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Garlic Chutney,1,$0.00," "," "," "," "," "," "
,Veggie Pizza,$565.51,$565.51,43,0," "," ",-,$0.00,$0.00,1.60%,$13.15,$0.00,$565.51
,," "," "," "," ",No Mushroom,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onions,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Zuccini,4,$0.00," "," "," "," "," "," "
,Veggie Burger,$548.69,$548.69,55,0," "," ",-,$0.00,$0.00,1.55%,$9.98,$0.00,$548.69
,," "," "," "," ",No Cheese,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onion,1,$0.00," "," "," "," "," "," "
,Veg.grill sandwich,$507.99,$507.99,51,0," "," ",-,$0.00,$0.00,1.44%,$9.96,$0.00,$507.99
,"Paneer Tikka Burger ",$386.57,$386.57,43,0," "," ",-,$0.00,$0.00,1.09%,$8.99,-,-
,Pav Bhaji,$299.70,$299.70,30,0," "," ",-,$0.00,$0.00,0.85%,$9.99,-,-
,Cheese Vada Pav,$287.73,$287.73,31,0," "," ",-,$0.00,$0.00,0.81%,$9.28,$0.00,$287.73
,," "," "," "," ",Mild,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Sweet Chutney,2,$0.00," "," "," "," "," "," "
,Potato Stuffed Grill Sandwich,$201.80,$201.80,20,0," "," ",-,$0.00,$0.00,0.57%,$10.09,$0.00,$201.80
,Chole Kulcha,$152.93,$152.93,15,0," "," ",-,$0.00,$0.00,0.43%,$10.20,$0.00,$152.93
,Masala Fries,$149.74,$149.74,26,0," "," ",-,$0.00,$0.00,0.42%,$5.76,$0.00,$149.74
,," "," "," "," ",No Masala,1,$0.00," "," "," "," "," "," "
,Bombay Sandwich,$139.80,$139.80,20,0," "," ",-,$0.00,$0.00,0.40%,$6.99,-,-
,Cheese Pizza,$137.39,$137.39,11,0," "," ",-,$0.00,$0.00,0.39%,$12.49,$0.00,$137.39
,Jalapeño Poppers,$120.22,$120.22,26,0," "," ",-,$0.00,$0.00,0.34%,$4.62,$0.00,$120.22
,Cheesy Garlic Bread,$111.87,$111.87,13,0," "," ",-,$0.00,$0.00,0.32%,$8.61,$0.00,$111.87
,Schezwan Paneer Roll,$101.15,$101.15,11,0," "," ",-,$0.00,$0.00,0.29%,$9.20,$0.00,$101.15
,Mozzarella Sticks,$97.77,$97.77,21,0," "," ",-,$0.00,$0.00,0.28%,$4.66,$0.00,$97.77
,Pesto Paneer Pizza,$85.94,$85.94,6,0," "," ",-,$0.00,$0.00,0.24%,$14.32,$0.00,$85.94
,Paneer Tikka Pizza,$58.44,$58.44,4,0," "," ",-,$0.00,$0.00,0.17%,$14.61,-,-
,Chilly Cheese Toast,$47.94,$47.94,6,0," "," ",-,$0.00,$0.00,0.14%,$7.99,$0.00,$47.94
,Spinach & Corn Sandwich,$37.96,$37.96,4,0," "," ",-,$0.00,$0.00,0.11%,$9.49,$0.00,$37.96
,Chutney Sandwich,$25.33,$25.33,7,0," "," ",-,$0.00,$0.00,0.07%,$3.62,$0.00,$25.33
,Bread Butter,$14.43,$14.43,5,0," "," ",-,$0.00,$0.00,0.04%,$2.89,$0.00,$14.43
,Grill Cheese Sandwich,$7.49,$7.49,1,0," "," ",-,$0.00,$0.00,0.02%,$7.49,$0.00,$7.49
,Extra Kulcha 1,$1.25,$1.25,1,0," "," ",-,$0.00,$0.00,0.00%,$1.25,$0.00,$1.25
Total (Snacks),,"$6,947.40","$6,947.40",774,0,-,86,$0.00,$0.00,$0.00,19.65%,$8.98,$0.00,"$6,062.89"

Cake 1LB
,Pine Butterscotch 1lb,$574.77,$574.77,23,0," "," ",-,$0.00,$0.00,1.63%,$24.99,$316.02,$258.75
,Rasbhari rasmalai 1lb,$571.78,$571.78,22,0," "," ",-,$0.00,$0.00,1.62%,$25.99,$314.38,$257.40
,Black Forest 1lb,$549.75,$547.55,25,0," "," ",-,-$2.20,$0.00,1.55%,$21.90,$302.25,$245.30
,Ferrero Rocher 1lb,$512.81,$512.81,19,0," "," ",-,$0.00,$0.00,1.45%,$26.99,$271.51,$241.30
,Choco Delight 1lb,$468.55,$468.55,21,0," "," ",-,$0.00,$0.00,1.33%,$22.31,$253.89,$214.66
,Juicy Pineapple 1lb,$351.84,$351.84,16,0," "," ",-,$0.00,$0.00,1.00%,$21.99,$193.44,$158.40
,White Forest 1lb,$349.86,$349.86,14,0," "," ",-,$0.00,$0.00,0.99%,$24.99,$192.36,$157.50
,Royal Cassatta 1lb,$346.27,$346.27,13,0," "," ",-,$0.00,$0.00,0.98%,$26.64,$185.77,$160.50
,Alphonso 1lb,$336.61,$336.61,15,0," "," ",-,$0.00,$0.00,0.95%,$22.44,$181.35,$155.26
,Oreo Crunch 1lb,$311.88,$311.88,12,0," "," ",-,$0.00,$0.00,0.88%,$25.99,$171.48,$140.40
,Red Velvet 1lb,$268.30,$268.30,10,0," "," ",-,$0.00,$0.00,0.76%,$26.83,$142.90,$125.40
,Dark Forest 1LB,$259.90,$259.90,10,0," "," ",-,$0.00,$0.00,0.74%,$25.99,$142.90,$117.00
,Choco Chip Forest 1lb,$258.06,$258.06,10,0," "," ",-,$0.00,$0.00,0.73%,$25.81,$137.40,$120.66
,Choco Pie 1LB,$149.94,$149.94,6,0," "," ",-,$0.00,$0.00,0.42%,$24.99,$82.44,$67.50
,Creamy Vanilla 1LB,$87.96,$87.96,4,0," "," ",-,$0.00,$0.00,0.25%,$21.99,$48.36,$39.60
,Royal Chocolate 1lb,$53.98,$53.98,2,0," "," ",-,$0.00,$0.00,0.15%,$26.99,$29.68,$24.30
,Strawberry Delight 1lb,$50.74,$50.74,2,0," "," ",-,$0.00,$0.00,0.14%,$25.37,$24.18,$26.56
,Bourbon Chocolate 1lb,$25.99,$25.99,1,0," "," ",-,$0.00,$0.00,0.07%,$25.99,$14.29,$11.70
Total (Cake 1LB),,"$5,528.99","$5,526.79",225,0,-," ",$0.00,-$2.20,$0.00,15.63%,$24.56,"$3,004.60","$2,522.19"

Cake 2LB
,Ferrero Rocher 2 Lb,$809.85,$809.85,15,0," "," ",-,$0.00,$0.00,2.29%,$53.99,$445.35,$364.50
,Rasmalai 2Lb,$692.03,$686.83,13,0," "," ",-,-$5.20,$0.00,1.94%,$52.83,$371.67,$315.16
,Black Forest Cake 2LB,$527.88,$527.88,12,0," "," ",-,$0.00,$0.00,1.49%,$43.99,$290.28,$237.60
,Pine Butterscotch 2LB,$499.90,$499.90,10,0," "," ",-,$0.00,$0.00,1.41%,$49.99,$274.90,$225.00
,Red Velvet 2LB,$363.93,$363.93,7,0," "," ",-,$0.00,$0.00,1.03%,$51.99,$200.13,$163.80
,Choco Pie 2LB,$299.94,$299.94,6,0," "," ",-,$0.00,$0.00,0.85%,$49.99,$164.94,$135.00
,Choco delight 2 lb,$263.94,$263.94,6,0," "," ",-,$0.00,$0.00,0.75%,$43.99,$145.14,$118.80
,Dark Forest 2LB,$259.95,$259.95,5,0," "," ",-,$0.00,$0.00,0.74%,$51.99,$148.45,$111.50
,Royal Cassatta 2LB,$259.95,$259.95,5,0," "," ",-,$0.00,$0.00,0.74%,$51.99,$148.45,$111.50
,Choco Chip Forest Cake 2LB,$249.95,$249.95,5,0," "," ",-,$0.00,$0.00,0.71%,$49.99,$137.45,$112.50
,White Forest 2LB,$249.95,$249.95,5,0," "," ",-,$0.00,$0.00,0.71%,$49.99,$137.45,$112.50
,Alphonso 2LB,$175.96,$175.96,4,0," "," ",-,$0.00,$0.00,0.50%,$43.99,$96.76,$79.20
,Juicy Pineapple 2LB,$131.97,$131.97,3,0," "," ",-,$0.00,$0.00,0.37%,$43.99,$72.57,$59.40
,Oreo Crunch 2 Lb,$103.98,$103.98,2,0," "," ",-,$0.00,$0.00,0.29%,$51.99,$57.18,$46.80
,Royal Chocolate 2LB,$71.25,$71.25,1,0," "," ",-,$0.00,$0.00,0.20%,$71.25,$29.69,$41.56
,Mango Cheese Cake 2lb,$52.99,$52.99,1,0," "," ",-,$0.00,$0.00,0.15%,$52.99,$0.00,$52.99
Total (Cake 2LB),,"$5,013.42","$5,008.22",100,0,-," ",$0.00,-$5.20,$0.00,14.16%,$50.08,"$2,720.41","$2,287.81"

"Pastries "
,Black Forest,$403.53,$403.53,95,0," "," ",-,$0.00,$0.00,1.14%,$4.25,$208.05,$195.48
,Rasbhari Rasmalai,$381.32,$381.32,82,0," "," ",-,$0.00,$0.00,1.08%,$4.65,$202.54,$178.78
,Chocolate Chip,$325.91,$325.91,81,0," "," ",-,$0.00,$0.00,0.92%,$4.02,$0.00,$325.91
,Biscoff Cheese Cake,$273.27,$273.27,45,0," "," ",-,$0.00,$0.00,0.77%,$6.07,$0.00,$273.27
,Pine butterscotch,$264.93,$264.93,57,0," "," ",-,$0.00,$0.00,0.75%,$4.65,$140.79,$124.14
,Choco Delight,$247.65,$247.65,59,0," "," ",-,$0.00,$0.00,0.70%,$4.20,$129.21,$118.44
,Ferrero Rocher,$244.77,$244.77,39,0," "," ",-,$0.00,$0.00,0.69%,$6.28,$128.31,$116.46
,Oreo Crunch,$221.16,$221.16,44,0," "," ",-,$0.00,$0.00,0.63%,$5.03,$120.56,$100.60
,Mango Cheese Cake,$207.38,$207.38,34,0," "," ",-,$0.00,$0.00,0.59%,$6.10,$0.00,$207.38
,White Forest,$195.51,$195.51,49,0," "," ",-,$0.00,$0.00,0.55%,$3.99,$107.31,$88.20
,Strawberry Delight,$184.90,$184.90,46,0," "," ",-,$0.00,$0.00,0.52%,$4.02,$100.74,$84.16
,Royal Chocolate,$182.84,$182.84,36,0," "," ",-,$0.00,$0.00,0.52%,$5.08,$0.00,$182.84
,Royal Cassatta,$179.38,$179.38,38,0," "," ",-,$0.00,$0.00,0.51%,$4.72,$104.12,$75.26
,Juicy Pineapple,$170.39,$170.39,41,0," "," ",-,$0.00,$0.00,0.48%,$4.16,$0.00,$170.39
,"Creamy Vanilla ",$143.64,$143.64,36,0," "," ",-,$0.00,$0.00,0.41%,$3.99,$0.00,$143.64
,Gulabjamun Cheesecake,$129.51,$129.51,21,0," "," ",-,$0.00,$0.00,0.37%,$6.17,$73.50,$56.01
,Red Velvet,$127.22,$127.22,28,0," "," ",-,$0.00,$0.00,0.36%,$4.54,$69.16,$58.06
,Roasted Almond,$119.80,$119.80,20,0," "," ",-,$0.00,$0.00,0.34%,$5.99,$0.00,$119.80
,Alphonso,$114.44,$114.44,28,0," "," ",-,$0.00,$0.00,0.32%,$4.09,$0.00,$114.44
,Bourbon Chocolate,$98.01,$98.01,19,0," "," ",-,$0.00,$0.00,0.28%,$5.16,$42.75,$55.26
,Choco Pie,$97.70,$97.70,16,0," "," ",-,$0.00,$0.00,0.28%,$6.11,$0.00,$97.70
,Blueberry Delight,$42.62,$42.62,10,0," "," ",-,$0.00,$0.00,0.12%,$4.26,$21.90,$20.72
Total (Pastries ),,"$4,355.88","$4,355.88",924,0,-," ",$0.00,$0.00,$0.00,12.32%,$4.71,"$1,448.94","$2,906.94"

Breads
,Vada Dabeli Pav,$403.00,$403.00,124,0," "," ",-,$0.00,$0.00,1.14%,$3.25,$0.00,$403.00
,Maska Bun,$342.00,$342.00,152,0," "," ",-,$0.00,$0.00,0.97%,$2.25,$0.00,$342.00
,Sandwich Bread 400g,$123.75,$123.75,45,0," "," ",-,$0.00,$0.00,0.35%,$2.75,$0.00,$123.75
,"Soft White Pizza Bread 7""",$88.00,$88.00,32,0," "," ",-,$0.00,$0.00,0.25%,$2.75,$43.84,$44.16
,Kulcha Bread,$40.50,$40.50,18,0," "," ",-,$0.00,$0.00,0.11%,$2.25,$9.00,$31.50
,Sandwich Bread 800gm,$29.75,$29.75,7,0," "," ",-,$0.00,$0.00,0.08%,$4.25,$0.00,$29.75
,Milk & Fruit Bread,$13.75,$13.75,5,0," "," ",-,$0.00,$0.00,0.04%,$2.75,$6.85,$6.90
,"Mini Pizza Bread 4""",$11.00,$11.00,4,0," "," ",-,$0.00,$0.00,0.03%,$2.75,$5.48,$5.52
,Jumbo Sandwich Bread,$8.50,$8.50,2,0," "," ",-,$0.00,$0.00,0.02%,$4.25,$0.00,$8.50
,Bhaji Pav,$3.75,$3.75,1,0," "," ",-,$0.00,$0.00,0.01%,$3.75,$0.00,$3.75
Total (Breads),,"$1,064.00","$1,064.00",390,0,-," ",$0.00,$0.00,$0.00,3.01%,$2.73,$65.17,$998.83

Uncategorized
,Mango Tres Leches,$223.72,$223.72,28,0," "," ",-,$0.00,$0.00,0.63%,$7.99,$167.72,$56.00
,Paneer Tikka Pizza,$137.50,$137.50,10,0," "," ",-,$0.00,$0.00,0.39%,$13.75,-,-
,Surti Khari,$114.77,$114.77,23,0," "," ",-,$0.00,$0.00,0.32%,$4.99,$69.00,$45.77
,Buns Pav,$93.75,$93.75,25,0," "," ",-,$0.00,$0.00,0.27%,$3.75,$93.75,$0.00
,Cassata Mousse,$83.86,$83.86,14,0," "," ",-,$0.00,$0.00,0.24%,$5.99,$0.00,$83.86
,Jeera Khari,$64.87,$64.87,13,0," "," ",-,$0.00,$0.00,0.18%,$4.99,$64.87,$0.00
,Methi Khari,$64.87,$64.87,13,0," "," ",-,$0.00,$0.00,0.18%,$4.99,$39.00,$25.87
,Kaju Katli 400gm,$55.96,$55.96,4,0," "," ",-,$0.00,$0.00,0.16%,$13.99,$0.00,$55.96
,Sandwich Bread S/W 800,$47.88,$47.88,12,0," "," ",-,$0.00,$0.00,0.14%,$3.99,$0.00,$47.88
,Surti Rajbhog Ghari 500g,$35.97,$35.97,3,0," "," ",-,$0.00,$0.00,0.10%,$11.99,$0.00,$35.97
,Kesar Penda 400gm,$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.06%,$9.99,$0.00,$19.98
,Mathura Penda 400gm,$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.06%,$9.99,$0.00,$19.98
,Utsav,$19.98,$19.98,2,0," "," ",-,$0.00,$0.00,0.06%,$9.99,$0.00,$19.98
,Casatta Mousse,$17.97,$17.97,3,0," "," ",-,$0.00,$0.00,0.05%,$5.99,$0.00,$17.97
,pav bhaji,$8.99,$8.99,1,0," "," ",-,$0.00,$0.00,0.03%,$8.99,-,-
,Ferrero Rocher Chocolate Cup,$6.99,$6.99,1,0," "," ",-,$0.00,$0.00,0.02%,$6.99,$0.00,$6.99
,pound cake,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,Cashew Bite,$3.49,$3.49,1,0," "," ",-,$0.00,$0.00,0.01%,$3.49,$0.00,$3.49
,Truti Frutti Pound Cake,$3.49,$3.49,1,0," "," ",-,$0.00,$0.00,0.01%,$3.49,$0.00,$3.49
,Jeera Khari 200 Gm,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$2.99
,Walnut Chocolate Brownie,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$2.99
,muffin,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,-,-
,Mini Schezwan Chakri.,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$1.99
,Custom Item,$1.50,$1.50,1,0," "," ",-,$0.00,$0.00,0.00%,$1.50,-,-
,Custom Item,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Diet Pepsi,$0.99,$0.99,1,0," "," ",-,$0.00,$0.00,0.00%,$0.99,$0.00,$0.99
Total (Uncategorized),,"$1,043.46","$1,043.46",166,0,-," ",$0.00,$0.00,$0.00,2.95%,$6.29,$434.34,$452.15

Tea & Soda
,Coffee,$208.99,$208.99,91,0," "," ",-,$0.00,$0.00,0.59%,$2.30,$0.00,$208.99
,Kashmira Masala Jeera Can,$122.59,$122.59,41,0," "," ",-,$0.00,$0.00,0.35%,$2.99,$23.78,$98.81
,Coke Can,$109.46,$109.46,54,0," "," ",-,$0.00,$0.00,0.31%,$2.03,$0.00,$109.46
,Limca Can,$93.45,$93.45,31,0," "," ",-,$0.00,$0.00,0.26%,$3.01,$0.00,$93.45
,Thums Up Can,$68.77,$68.77,23,0," "," ",-,$0.00,$0.00,0.19%,$2.99,$0.00,$68.77
