Items Report,,,,,,,,,,,,,,
"Mar 1, 2026 12:00 AM - Mar 31, 2026 11:59 PM",,,,,,,,,,,,,,
"Requested on: Apr 2, 2026 5:06 PM",,,,,,,,,,,,,,
Filters: Item Type = Revenue Items,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Categories: All,,,,,,,,,,,,,,
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders.",,,,,,,,,,,,,,
Items assigned to multiple categories are reported in just one category (the one created first).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gross Sales,"$39,424.46 ",,,,,,,,,,,,,
Net Sales,"$37,392.30 ",,,,,,,,,,,,,
COGS,"$10,221.82 ",,,,,,,,,,,,,
Gross Profit,"$25,478.94 ",,,,,,,,,,,,,
Gross Profit Margin,68.14%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,"Soft White Pizza Bread 7""",$90.75 ,$90.75 ,33,0, , ,-,$0.00 ,$0.00 ,0.24%,$2.75 ,$45.21 ,$45.54 
,Kulcha Bread,$74.25 ,$71.00 ,33,0, , ,-,($3.25),$0.00 ,0.19%,$2.15 ,$16.50 ,$54.50 
,Sandwich Bread 400g,$41.25 ,$41.25 ,15,0, , ,-,$0.00 ,$0.00 ,0.11%,$2.75 ,$0.00 ,$41.25 
,Sandwich Bread 800gm,$21.25 ,$21.25 ,5,0, , ,-,$0.00 ,$0.00 ,0.06%,$4.25 ,$0.00 ,$21.25 
,Jumbo Sandwich Bread,$12.75 ,$12.75 ,3,0, , ,-,$0.00 ,$0.00 ,0.03%,$4.25 ,$0.00 ,$12.75 
,Milk & Fruit Bread,$2.75 ,$2.75 ,1,0, , ,-,$0.00 ,$0.00 ,0.01%,$2.75 ,$1.37 ,$1.38 
Total (Breads),,"$1,054.50 ","$1,046.13 ",408,0,-, ,$0.00 ,($8.37),$0.00 ,2.80%,$2.56 ,$63.08 ,$983.05 
,,,,,,,,,,,,,,
Tea & Soda,,,,,,,,,,,,,,
,Coke Can,$176.62 ,$176.62 ,88,0, , ,-,$0.00 ,$0.00 ,0.47%,$2.01 ,$0.00 ,$176.62 
,Coffee,$174.04 ,$173.58 ,76,0, , ,-,($0.46),$0.00 ,0.46%,$2.28 ,$0.00 ,$173.58 
,Thums Up Can,$155.48 ,$154.88 ,52,0, , ,-,($0.60),$0.00 ,0.41%,$2.98 ,$0.00 ,$154.88 
,Kashmira Masala Jeera Can,$129.33 ,$128.13 ,43,0, , ,-,($1.20),$0.00 ,0.34%,$2.98 ,$24.94 ,$103.19 
,Frooti,$119.60 ,$119.60 ,40,0, , ,-,$0.00 ,$0.00 ,0.32%,$2.99 ,$0.00 ,$119.60 
,Limca Can,$68.77 ,$68.77 ,23,0, , ,-,$0.00 ,$0.00 ,0.18%,$2.99 ,$0.00 ,$68.77 
,Sprite Can,$36.32 ,$36.32 ,18,0, , ,-,$0.00 ,$0.00 ,0.10%,$2.02 ,$0.00 ,$36.32 
,Diet Coke Can,$35.33 ,$35.33 ,17,0, , ,-,$0.00 ,$0.00 ,0.09%,$2.08 ,$0.00 ,$35.33 
,Coke Zero,$11.94 ,$11.94 ,6,0, , ,-,$0.00 ,$0.00 ,0.03%,$1.99 ,$0.00 ,$11.94 
Total (Tea & Soda),,$907.43 ,$905.18 ,363,0,-, ,$0.00 ,($2.25),$0.00 ,2.42%,$2.49 ,$24.94 ,$880.23 
,,,,,,,,,,,,,,
Shakes,,,,,,,,,,,,,,
,Ferrero Rocher Shake,$135.87 ,$135.87 ,13,0, , ,-,$0.00 ,$0.00 ,0.36%,$10.45 ,$0.00 ,$135.87 
,, , , , ,Medium,10,$0.00 , , , , , , 
,, , , , ,Large,3,$6.00 , , , , , , 
,Chocolate Chip Brownie Shake,$91.89 ,$91.89 ,11,0, , ,-,$0.00 ,$0.00 ,0.25%,$8.35 ,$0.00 ,$91.89 
,, , , , ,Medium,9,$0.00 , , , , , , 
,, , , , ,Large,2,$4.00 , , , , , , 
,Mango Lassi,$74.85 ,$74.85 ,15,0, , ,-,$0.00 ,$0.00 ,0.20%,$4.99 ,-,-
,Oreo Shake,$65.19 ,$65.19 ,7,0, , ,-,$0.00 ,$0.00 ,0.17%,$9.31 ,$0.00 ,$65.19 
,, , , , ,Medium,7,$0.00 , , , , , , 
,Pine Butterscotch Shake,$61.93 ,$61.93 ,7,0, , ,-,$0.00 ,$0.00 ,0.17%,$8.85 ,$0.00 ,$61.93 
,, , , , ,Medium,6,$0.00 , , , , , , 
